branch;kdlvlgp;c_hold;nominal;inputby;inputdate
SBYNSA;01    ;NO   ;0.00;;
SBYNSA;02    ;NO   ;0.00;;
SBYNSA;03    ;NO   ;0.00;;
SBYNSA;04    ;NO   ;0.00;;
SBYNSA;06    ;NO   ;0.00;;
SBYNSA;07    ;NO   ;0.00;;
SBYNSA;08    ;NO   ;0.00;;
SBYNSA;09    ;NO   ;0.00;;
SBYNSA;10    ;NO   ;0.00;;
SBYNSA;11    ;NO   ;0.00;;
SBYNSA;12    ;NO   ;0.00;;
SBYNSA;13    ;NO   ;0.00;;
SBYNSA;14    ;NO   ;0.00;;
SBYNSA;15    ;NO   ;0.00;;
SBYNSA;16    ;NO   ;0.00;;
SBYNSA;17    ;NO   ;0.00;;
SBYNSA;18    ;NO   ;0.00;;
SBYNSA;19    ;NO   ;0.00;;
SBYNSA;20    ;NO   ;0.00;;
SBYNSA;21    ;NO   ;0.00;;
SBYNSA;22    ;NO   ;0.00;;
SBYNSA;23    ;NO   ;0.00;;
SBYNSA;24    ;NO   ;0.00;;
SBYNSA;25    ;NO   ;0.00;;
SBYNSA;26    ;NO   ;0.00;;
SBYNSA;27    ;NO   ;0.00;;
SBYNSA;28    ;NO   ;0.00;;
SBYNSA;29    ;NO   ;0.00;;
SBYNSA;30    ;NO   ;0.00;;
SBYNSA;31    ;NO   ;0.00;;
SBYNSA;32    ;NO   ;0.00;;
SBYNSA;33    ;NO   ;0.00;;
SBYNSA;34    ;NO   ;0.00;;
SBYNSA;35    ;NO   ;0.00;;
SBYNSA;36    ;NO   ;0.00;;
SBYNSA;37    ;NO   ;0.00;;
SBYNSA;38    ;NO   ;0.00;;
SBYNSA;05    ;NO   ;3500000.00;;
