nodok;nik;nodok_ref;tgl_nodok_ref;tgl_kerja;kdijin;kdtrx;nominal;status;keterangan;input_date;approval_date;input_by;approval_by;delete_by;cancel_by;update_date;delete_date;cancel_date;update_by;shiftke;flag_cuti;cuti_nominal;jam_masuk_absen;jam_pulang_absen;urut;gajipokok;periode_gaji;nikmap;nodoktmp
0321.434    ;0112.001    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7584;0.00;201907;;
0321.434    ;0112.001    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7626;0.00;201907;;
0321.434    ;0112.001    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7646;0.00;201907;;
0321.434    ;0112.001    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7680;0.00;201907;;
0321.434    ;0112.002    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7594;0.00;201907;;
0321.434    ;0112.002    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7622;0.00;201907;;
0321.434    ;0112.002    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7633;0.00;201907;;
0321.434    ;0112.002    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7669;0.00;201907;;
0321.434    ;0112.007    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7579;0.00;201907;;
0321.434    ;0112.007    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7648;0.00;201907;;
0321.434    ;0112.007    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7681;0.00;201907;;
0321.434    ;0112.017    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7591;0.00;201907;;
0321.434    ;0112.017    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7624;0.00;201907;;
0321.434    ;0112.017    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7656;0.00;201907;;
0321.434    ;0112.017    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7671;0.00;201907;;
0321.434    ;0112.030    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7607;0.00;201907;;
0321.434    ;0112.030    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7625;0.00;201907;;
0321.434    ;0112.030    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7658;0.00;201907;;
0321.434    ;0112.030    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7672;0.00;201907;;
0321.434    ;0112.035    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7601;0.00;201907;;
0321.434    ;0112.035    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7660;0.00;201907;;
0321.434    ;0112.035    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7673;0.00;201907;;
0321.434    ;0118.300    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7595;0.00;201907;;
0321.434    ;0118.300    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7623;0.00;201907;;
0321.434    ;0118.300    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7659;0.00;201907;;
0321.434    ;0118.300    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7670;0.00;201907;;
0321.434    ;0219.342    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7586;0.00;201907;;
0321.434    ;0219.342    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7627;0.00;201907;;
0321.434    ;0219.342    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7632;0.00;201907;;
0321.434    ;0219.342    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7674;0.00;201907;;
0321.434    ;0418.314    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7630;0.00;201907;;
0321.434    ;0418.314    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7638;0.00;201907;;
0321.434    ;0418.314    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7677;0.00;201907;;
0321.434    ;0418.315    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7592;0.00;201907;;
0321.434    ;0418.315    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7619;0.00;201907;;
0321.434    ;0418.315    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7644;0.00;201907;;
0321.434    ;0418.315    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7690;0.00;201907;;
0321.434    ;0419.347    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7582;0.00;201907;;
0321.434    ;0419.347    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7611;0.00;201907;;
0321.434    ;0419.347    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7643;0.00;201907;;
0321.434    ;0419.347    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7683;0.00;201907;;
0321.434    ;0419.348    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7597;0.00;201907;;
0321.434    ;0419.348    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7640;0.00;201907;;
0321.434    ;0419.348    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7678;0.00;201907;;
0321.434    ;0419.350    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7593;0.00;201907;;
0321.434    ;0419.350    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7621;0.00;201907;;
0321.434    ;0419.350    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7641;0.00;201907;;
0321.434    ;0419.350    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7661;0.00;201907;;
0321.434    ;0512.070    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7581;0.00;201907;;
0321.434    ;0512.071    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7604;0.00;201907;;
0321.434    ;0512.071    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7653;0.00;201907;;
0321.434    ;0219.345    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7580;0.00;201907;;
0321.434    ;0219.345    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7628;0.00;201907;;
0321.434    ;0219.345    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7634;0.00;201907;;
0321.434    ;0219.345    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7675;0.00;201907;;
0321.434    ;0316.196    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7603;0.00;201907;;
0321.434    ;0316.196    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7629;0.00;201907;;
0321.434    ;0316.196    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7636;0.00;201907;;
0321.434    ;0316.196    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7676;0.00;201907;;
0321.434    ;0318.308    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7589;0.00;201907;;
0321.434    ;0318.308    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7616;0.00;201907;;
0321.434    ;0318.308    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7649;0.00;201907;;
0321.434    ;0318.308    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7688;0.00;201907;;
0321.434    ;0319.346    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7590;0.00;201907;;
0321.434    ;0319.346    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7618;0.00;201907;;
0321.434    ;0319.346    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7647;0.00;201907;;
0321.434    ;0319.346    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7689;0.00;201907;;
