shift_tipe;nik;kdregu;kodejamkerja;inputdate;inputby;updatedate;updateby;id;tgl
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;1;2016-10-01
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;2;2016-10-03
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;3;2016-10-04
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;4;2016-10-05
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;5;2016-10-06
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;6;2016-10-07
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;7;2016-10-08
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;8;2016-10-10
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;9;2016-10-11
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;10;2016-10-12
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;11;2016-10-13
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;12;2016-10-14
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;13;2016-10-15
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;14;2016-10-17
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;15;2016-10-18
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;16;2016-10-19
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;17;2016-10-20
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;18;2016-10-21
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;19;2016-10-22
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;20;2016-10-24
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;21;2016-10-25
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;22;2016-10-26
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;23;2016-10-27
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;24;2016-10-28
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;25;2016-10-29
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;26;2016-10-31
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;27;2016-11-01
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;28;2016-11-02
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;29;2016-11-03
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;30;2016-11-04
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;31;2016-11-05
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;32;2016-11-07
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;33;2016-11-08
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;34;2016-11-09
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;35;2016-11-10
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;36;2016-11-11
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;37;2016-11-12
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;38;2016-11-14
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;39;2016-11-15
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;40;2016-11-16
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;41;2016-11-17
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;42;2016-11-18
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;43;2016-11-19
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;44;2016-11-21
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;45;2016-11-22
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;46;2016-11-23
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;47;2016-11-24
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;48;2016-11-25
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;49;2016-11-26
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;50;2016-11-28
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;51;2016-11-29
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;52;2016-11-30
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;53;2016-12-01
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;54;2016-12-02
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;55;2016-12-03
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;56;2016-12-05
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;57;2016-12-06
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;58;2016-12-07
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;59;2016-12-08
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;60;2016-12-09
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;61;2016-12-10
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;62;2016-12-12
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;63;2016-12-13
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;64;2016-12-14
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;65;2016-12-15
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;66;2016-12-16
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;67;2016-12-17
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;68;2016-12-19
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;69;2016-12-20
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;70;2016-12-21
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;71;2016-12-22
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;72;2016-12-23
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;73;2016-12-24
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;74;2016-12-26
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;75;2016-12-27
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;76;2016-12-28
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;77;2016-12-29
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;78;2016-12-30
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;79;2016-12-31
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;80;2017-01-02
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;81;2017-01-03
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;82;2017-01-04
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;83;2017-01-05
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;84;2017-01-06
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;85;2017-01-07
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;86;2017-01-09
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;87;2017-01-10
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;88;2017-01-11
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;89;2017-01-12
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;90;2017-01-13
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;91;2017-01-14
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;92;2017-01-16
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;93;2017-01-17
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;94;2017-01-18
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;95;2017-01-19
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;96;2017-01-20
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;97;2017-01-21
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;98;2017-01-23
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;99;2017-01-24
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;100;2017-01-25
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;101;2017-01-26
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;102;2017-01-27
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;104;2017-01-30
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;105;2017-01-31
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;106;2017-02-01
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;107;2017-02-02
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;108;2017-02-03
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;109;2017-02-04
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;110;2017-02-06
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;111;2017-02-07
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;112;2017-02-08
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;113;2017-02-09
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;114;2017-02-10
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;115;2017-02-11
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;116;2017-02-13
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;117;2017-02-14
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;118;2017-02-15
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;119;2017-02-16
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;120;2017-02-17
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;121;2017-02-18
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;122;2017-02-20
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;123;2017-02-21
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;124;2017-02-22
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;125;2017-02-23
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;126;2017-02-24
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;127;2017-02-25
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;128;2017-02-27
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;129;2017-02-28
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;130;2017-03-01
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;131;2017-03-02
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;132;2017-03-03
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;133;2017-03-04
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;134;2017-03-06
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;135;2017-03-07
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;136;2017-03-08
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;137;2017-03-09
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;138;2017-03-10
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;139;2017-03-11
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;140;2017-03-13
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;141;2017-03-14
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;142;2017-03-15
