kdoption;nmoption;value1;value2;value3;status;keterangan;input_by;update_by;input_date;update_date;group_option
C;SET UP NOMER LEMBUR;LBR 012;;;T;"";12345       ;12345       ;2015-12-28 22:54:53;2015-12-28 22:55:25;IJIN                
STPC1;SETUP CLOSING AWAL;"";;23;T;"";12345       ;;2016-04-24 21:20:39;;CUTI                
STPC2;SETUP CLOSING AKHIR;"";;22;T;"";12345       ;;2016-04-24 21:21:58;;CUTI                
E;SETUP POTONGAN ABSEN;"";;25;T;GAJI / HARI KERJA AKTIF;12345       ;12345       ;2016-04-11 11:38:13;2016-06-01 10:16:15;IJIN                
D;SETUP TUNJANGAN SHIFT 2;"";;1500;T;TUNJANGAN SHIFT 2;12345       ;12345       ;2016-04-11 11:37:00;2016-06-01 10:16:30;IJIN                
F;SETUP TUNJANGAN SHIFT 3;"";;2500;T;TUNJANGAN SHIFT 3;12345       ;12345       ;2016-04-11 11:39:31;2016-06-01 10:16:58;IJIN                
REMB2;REMINDER 15 HARI LAGI;"";;15;T;REMINDER 15 HARI LAGI;FIKY;;;;REMINDER            
REMB3;REMINDER 7 HARI LAGI;"";;7;T;REMINDER 7 HARI LAGI;FIKY;;;;REMINDER            
REMB5;REMINDER HARI INI;"";;0;T;REMINDER HARI INI;FIKY;;;;REMINDER            
REMB4;REMINDER 3 HARI LAGI;"";;3;T;REMINDER 3 HARI LAGI;FIKY;;;;REMINDER            
REMB6;REMINDER PERINGATAN;"";;4;T;REMINDER PERINGATAN;FIKY;;;;REMINDER            
B;SET UP NOMER CUTI;CT 001;;;F;SET UP NOMER CUTI;12345       ;1015.179    ;2015-12-28 22:53:29;2017-02-08 20:46:16;CUTI                
GADL;SET UP MIN UM IJIN KELUAR;SENIN-SABTU;11:00:00;15000;T;SET UP JAM UANG MAKAN DINAS KELUAR SEBELUM JAM 11;0912.082    ;;2017-02-08 20:20:15;;IJIN                
PDCACL01;SETUP BLOKING HARI H INSIDENTIL;YES;;1;T;SETUP BLOKING INPUT TANGGAL MUNDUR PDCA INSIDENTIL;FIKY;1116.232;2018-05-28 10:10:10;2019-07-18 01:23:45;CUTI                
SEI;SETUP BULAN EXPORT / IMPORT;"";;1;T;SETUP BULAN EXPORT / IMPORT;0321.437;;2021-05-20 08:16:18;;EXPORT / IMPORT     
