userid;badgenumber;editan;id;nik;tgl;kdjamkerja;kdregu;shift;shiftke;jam_masuk;jam_masuk_min;jam_masuk_max;jam_pulang;jam_pulang_min;jam_pulang_max;keterangan;status;kdhari_masuk;kdhari_pulang;jam_masuk_absen;jam_pulang_absen
;;;1130798;0615.171       ;2021-05-03;NSA  ;NS    ;;1;08:00:00;06:00:00;;16:00:00;;23:59:00;;;;;;
;;;1133234;0521.450       ;2021-05-07;NSB  ;NS    ;;1;08:00:00;06:00:00;;16:00:00;;23:59:00;;;;;;
;;;1125344;1018.337       ;2021-04-26;NSA  ;NS    ;;1;08:00:00;06:00:00;;16:00:00;;23:59:00;;;;;;
;;;1123619;0318.308       ;2021-04-01;SL1  ;SL    ;;1;07:30:00;05:00:00;;16:00:00;;23:59:00;;;;;07:14:03;15:17:57
;;;1123620;0318.308       ;2021-04-03;SL3  ;SL    ;;1;07:30:00;05:00:00;;13:00:00;;23:59:00;;;;;09:35:00;14:55:32
;;;1123621;0318.308       ;2021-04-05;SL1  ;SL    ;;1;07:30:00;05:00:00;;16:00:00;;23:59:00;;;;;09:37:14;16:29:50
;;;1123622;0318.308       ;2021-04-06;SL1  ;SL    ;;1;07:30:00;05:00:00;;16:00:00;;23:59:00;;;;;08:24:27;18:24:28
;;;1123623;0318.308       ;2021-04-07;SL1  ;SL    ;;1;07:30:00;05:00:00;;16:00:00;;23:59:00;;;;;07:10:39;16:03:21
;;;1123624;0318.308       ;2021-04-08;SL1  ;SL    ;;1;07:30:00;05:00:00;;16:00:00;;23:59:00;;;;;08:26:51;16:02:47
;;;1123625;0318.308       ;2021-04-09;SL2  ;SL    ;;1;07:30:00;05:00:00;;16:00:00;;23:59:00;;;;;10:09:36;17:24:47
;;;1123626;0318.308       ;2021-04-10;SL3  ;SL    ;;1;07:30:00;05:00:00;;13:00:00;;23:59:00;;;;;07:02:07;17:20:40
;;;1123627;0318.308       ;2021-04-12;SL1  ;SL    ;;1;07:30:00;05:00:00;;16:00:00;;23:59:00;;;;;10:20:24;16:22:30
;;;1123628;0318.308       ;2021-04-13;SL1  ;SL    ;;1;07:30:00;05:00:00;;16:00:00;;23:59:00;;;;;07:26:08;17:27:30
;;;1123629;0318.308       ;2021-04-14;SL1  ;SL    ;;1;07:30:00;05:00:00;;16:00:00;;23:59:00;;;;;07:15:08;17:59:42
;;;1123630;0318.308       ;2021-04-15;SL1  ;SL    ;;1;07:30:00;05:00:00;;16:00:00;;23:59:00;;;;;07:16:11;15:34:33
;;;1123631;0318.308       ;2021-04-16;SL2  ;SL    ;;1;07:30:00;05:00:00;;16:00:00;;23:59:00;;;;;09:53:10;16:35:10
;;;1123632;0318.308       ;2021-04-17;SL3  ;SL    ;;1;07:30:00;05:00:00;;13:00:00;;23:59:00;;;;;07:04:28;14:07:37
;;;1123633;0318.308       ;2021-04-19;SL1  ;SL    ;;1;07:30:00;05:00:00;;16:00:00;;23:59:00;;;;;08:57:48;16:36:00
