branch;kdlvlgp;c_hold;nominal;inputby;inputdate
SBYNSA;02    ;NO   ;2548588.00;;
SBYNSA;03    ;NO   ;2598588.00;;
SBYNSA;04    ;NO   ;2648588.00;;
SBYNSA;05    ;NO   ;2698588.00;;
SBYNSA;06    ;NO   ;2748588.00;;
SBYNSA;07    ;NO   ;2798588.00;;
SBYNSA;08    ;NO   ;2848588.00;;
SBYNSA;09    ;NO   ;2948588.00;;
SBYNSA;10    ;NO   ;3048588.00;;
SBYNSA;11    ;NO   ;3148588.00;;
SBYNSA;12    ;NO   ;3248588.00;;
SBYNSA;13    ;NO   ;3398588.00;;
SBYNSA;14    ;NO   ;3548588.00;;
SBYNSA;15    ;NO   ;3698588.00;;
SBYNSA;16    ;NO   ;3898588.00;;
SBYNSA;17    ;NO   ;4098588.00;;
SBYNSA;18    ;NO   ;4298588.00;;
SBYNSA;19    ;NO   ;4498588.00;;
SBYNSA;20    ;NO   ;4748588.00;;
SBYNSA;21    ;NO   ;4998588.00;;
SBYNSA;22    ;NO   ;5248588.00;;
SBYNSA;23    ;NO   ;5548588.00;;
SBYNSA;24    ;NO   ;5848588.00;;
SBYNSA;25    ;NO   ;6148588.00;;
SBYNSA;26    ;NO   ;6448588.00;;
SBYNSA;27    ;NO   ;6748588.00;;
SBYNSA;28    ;NO   ;7248588.00;;
SBYNSA;29    ;NO   ;7748588.00;;
SBYNSA;30    ;NO   ;8248588.00;;
SBYNSA;31    ;NO   ;8748588.00;;
SBYNSA;32    ;NO   ;9448588.00;;
SBYNSA;33    ;NO   ;10148588.00;;
SBYNSA;34    ;NO   ;10848588.00;;
SBYNSA;35    ;NO   ;11848588.00;;
SBYNSA;36    ;NO   ;12848588.00;;
SBYNSA;37    ;NO   ;13848588.00;;
SBYNSA;38    ;NO   ;14848588.00;;
SBYNSA;01    ;NO   ;2498588.00;1115.184            ;2019-05-02 15:48:16
