branch;kdmasakerja;nmmasakerja;awal;akhir;c_hold;nominal;inputby;inputdate
SBYNSA;MK02  ;4 SAMPAI 6 TAHUN;4;6;NO   ;0.00;0917.282            ;2019-05-29 09:12:53
SBYNSA;MK03  ;7 SAMPAI 9 TAHUN;7;9;NO   ;0.00;0917.282            ;2019-05-27 14:35:48
SBYNSA;MK04  ;10 SAMPAI 12 TAHUN;10;12;NO   ;0.00;0917.282            ;2019-05-27 14:36:19
SBYNSA;MK05  ;13 SAMPAI 15 TAHUN;13;15;NO   ;0.00;0917.282            ;2019-05-27 14:38:15
SBYNSA;MK06  ;16 SAMPAI 18 TAHUN;16;18;NO   ;0.00;0917.282            ;2019-05-27 14:40:40
SBYNSA;MK07  ;19 SAMPAI 21 TAHUN;19;21;NO   ;0.00;0917.282            ;2019-05-27 14:41:01
SBYNSA;MK08  ;22 SAMPAI 24 TAHUN;22;24;NO   ;0.00;0917.282            ;2019-05-27 14:41:35
SBYNSA;MK09  ;25 SAMPAI 27 TAHUN;25;27;NO   ;0.00;0917.282            ;2019-05-27 14:42:04
SBYNSA;MK10  ;28 SAMPAI 30 TAHUN;28;30;NO   ;0.00;0917.282            ;2019-05-27 14:45:35
SBYNSA;MK01  ;0 SAMPAI 3 TAHUN;0;3;NO   ;50000.00;0917.282            ;2019-07-31 15:39:23
